letter,den,eng,audio
"'","sh'in","I don't know",glot.mp3
"a",ał,deadfall trap,a.mp3
"b","libushgi","fry bread",b.mp3
"ch","chida","grandmother",ch.mp3
"ch'","ch'da","blanket, robe",chg.mp3
"d","daz'i","fire",d.mp3
"dl","dlin'a","mouse",dl.mp3
"dz","dzastets'","boat pole",dz.mp3
"e","el","spruce needle",e.mp3
"f","gufi","coffee",f.mp3
"g","giga","berries",g.mp3
"gg","ggagga","brown bear",gg.mp3
"gh","gheljay","moon",gh.mp3
"h","hał","pack",h.mp3
"&#293;","&#293;uk","hurry!",hh.mp3
"i","itl'","clothes",i.mp3
"j","jani","day",j.mp3
"k","kisht'a","too much",k.mp3
"k'","k'eh","porcupine quill",kg.mp3
"l","luts'egh","ring",l.mp3
"ł","łik'a","dog",barl.mp3
"m","minłni","water",m.mp3
"n","nini","porcupine",n.mp3
"q","qil","it is no good",q.mp3
"q'","q'in","fish eggs ",qg.mp3
"r","Rayzestbu","Christmas",r.mp3
"s","sem","star",s.mp3
"sh","shan","summer",sh.mp3
"t","ten","ice",t.mp3
"t'","t'ash","charcoal",tg.mp3
"tl","tlegh","oil",tl.mp3
"tl'","tl'ił","rope",tlg.mp3
"ts","vetsa'a","his daughter",ts.mp3
"ts'","ts'ełq'i","one",tsg.mp3
"u","ush","snowshoes",u.mp3
"v","ven","lake",v.mp3
"x","chix","red ochre, ochre paint",x.mp3
"y","yuq'","sky",y.mp3
"&#375;","nch'u eshch'e&#375;","he is not breathing",ybar.mp3
"z","izin","gun, rifle",z.mp3
"zh","ezhi","it's cold",zh.mp3
