dialect,den,eng,lit,speaker,audio,photo
Inland,K'qizaghetnu Hdakaq',Stony River village,distant river mouth,,,
Inland,Htsit,Tishimna Lake site,lowland place,,,
Inland,Hek'dichen Hdakaq',"Lime Village, mouth of Hungry Creek",abundance mouth,,,limevillage
Inland,Qeghnilen,Canyon site,current flows through,Pete Bobby,qeghnilen,canyon
Inland,Dilah Vena,Telaquana Lake village,(fish) swim in-lake,,,
Inland,Vałts'anaq',Mulchatna villages,? stream,,,
Inland,Qizhjeh,Kijik Village,place people gathered on the run,,,
Inland,"Nuvendaltun, Nundaltin","Nondalton, Sixmile Lake",lake extends across,,,nondalton
Inland,Łiq'a Qilanhtnu,Tlikakila River,stream where salmon are,,,
Iliamna,Nughiltnu,Newhalen River,flows-down river,,,
Iliamna,Nughilen,Newhalen,flows-down river,,,
Iliamna,Chix Kaq',Chekok,ochre mouth,Nick Kolyaha,pn-nk-chixkaq.mp3,
Iliamna,,Pedro Bay village,,,,
Iliamna,Nilavena,Iliamna Lake,islands lake,Walter Johnson,nilavena.mp3,
Iliamna,Tus Nuch'k'elyasht,Iliamna Portage to Cook Inlet,pass where we carry things back,,,
Iliamna,Vighutiztin Hkayitaghi'u,Lonesome Bay village,trail along it bay,,,
Iliamna,Tsayehtnu Hdakaq',Pile Bay village,cave river mouth,,,
Iliamna,Nuch'ak'dalitnu,Old Iliamna,things come out again river,,,
Outer Inlet,Tikahtnu,Cook Inlet,big water river,,,cookinlet
Outer Inlet,Yaghenen, Peninsula,good land,,,
Outer Inlet,Kahtnu Betnu,Kenai,river-mouth stream its stream,Peter Kalifornsky,kenai.mp3,
Outer Inlet,Shlakaq',mouth of Slikok Creek (near Kenai Peninsula College),little mouth,,,
Outer Inlet,Chunuk'tnu,Russian River,beaver ? river,,,
Outer Inlet,Tl'ubugh,"Seward, Ressurection Bay area",back shore,,,seward
Outer Inlet,Tałin Ch'iłtant,Polly Creek,where we found a whale,,,
Outer Inlet,Qezdeghnen,Kustatan sites,point land,,,
Outer Inlet,Ts'eslahtnu,Old Seldovia,'rock fish run-stream,,,
Outer Inlet,Angidahtnu,Seldovia,? stream,,,
Outer Inlet,Tsayehq'at,China Poot Bay village,place below rock,,,chinapoot
Outer Inlet,Ts'enghutnu ?,Soonroodna,bone fur stream' ?,,,
Outer Inlet,K'kaq',Anchor Point site,river mouth,,,
Outer Inlet,Nihnalchint,Ninilchik,lodge is built place,,,ninilchik
Outer Inlet,K'echan Dałkizt,Humpy Point village,grass is laying place,,,
Outer Inlet,Ggasilat,Kasilof site,,,,
Outer Inlet,Unhghenesditnu,Kalifornsky,farthest creek over,,,kalifornsky
Outer Inlet,Q'es Dudilent,Stepankas,current flows into outlet,,,
Outer Inlet,Sqilant,Kenai Lake site,ridge is there,Peter Kalifornsky,sqilant.mp3,
Outer Inlet,Ch'anilnat,Chinila site,one moves out place,,,
Outer Inlet,Shk'ituk't,Old Kenai site,where we slide down,Fedosia Sacaloff,oldkenai.mp3,
Outer Inlet,Kahtnu,Kenai village,river mouth river,,,
Outer Inlet,Ken Dech'etl't,Salamatov,scrub timber flat place,,,
Outer Inlet,Tuqyankdat,Nikiski No. 1,no good clearing,,,
Outer Inlet,Dghezha Leht,Nikiski No. 3,where needlefish run,,dghezhalegt.mp3,
Outer Inlet,Tiduqilts'ett,Titukilsk site,bad event place,,,
Outer Inlet,Quqegh Nik'eteleht,Libby Creek site (Seven Egg Creek),fish run up through place,,,
Upper Inlet,Ch'elehtnu,Roberts Creek site,fish run-stream,,,
Upper Inlet,Tubughnen,Old Tyonek sites,beach land,,,
Upper Inlet,Tank'itnu,Second Tyonek,fish dock stream,,,
Upper Inlet,Qaggeyshlat,New Tyonek,little place between toes,,,
Upper Inlet,Ch'u'itnu Hdakaq',Chuitt River site,? river mouth,,,
Upper Inlet,Tuqen Kaq',Alexander Creek,clear water mouth,,,
Upper Inlet,Tsat'ukeghet,Susitna Station,beneath big rock place,Shem Pete,susitna.mp3,
Upper Inlet,Tanłtunt,Redshirt Lake site,enclosed object in water place,,,
Upper Inlet,Tsuk Qayeh,Lower Yentna River site,old village,,,
Upper Inlet,Bentalit,Fish Lake sites,lake current place,Shem Pete,bentali.mp3,
Upper Inlet,Tiq'atl'ena,Hewitt Lake site,timbered area notch,,,
Upper Inlet,Keshch'a Bena,Donkey Creek Lake,down feathers lake,,,
Upper Inlet,Dashq'e,Kroto Creek village,on the shoal,Shem Pete,dashqe.mp3,
Upper Inlet,Qiduk'ggat,Montana Creek,overflows and freezes,,,
Upper Inlet,Tsuk Qayeh,site opposite Sunshine Ck mouth,old village,,,
Upper Inlet,K'dalkitnu,Talkeetna,food is stored river,,,
Upper Inlet,Ch'aniltnu Hdakaq',Chunilna Creek village,mouth of current flows out stream,,,
Upper Inlet,Tatik'niłtun Bena,Stephan Lake village,mouth of current flows out stream,,,
Upper Inlet,Tudli Bena,Nancy Lake village,cold water lake,,,
Upper Inlet,K'enakatnu,Fish Creek village,? stream,,,
Upper Inlet,Nughay Bena,(New) Knik,frog lake,,,
Upper Inlet,Łajat,Cottonwood Creek site,silt place,,,
Upper Inlet,Benteh,Wasilla Lake sites,among the lakes,,,
Upper Inlet,Nik'udatl'ech'a,Dinkle Lake site,dark color extends out,,,
Upper Inlet,Tuhnaghiłkits,Bradley-Kepler Lakes site,extends in water fabric-like,,,
Upper Inlet,Niteh,"Old Knik, Matanuska",among the islands,,,
Upper Inlet,Chidaq'atnu,Moose Creek,old lady's hole stream,,,
Upper Inlet,Nuk'din'itnu,Chickaloon,bridge goes across-stream,,,
Upper Inlet,Hutnaynut'i,Bodenberg Butte site,one that is shining,,,
Upper Inlet,Skintuk'ełaha,Swan Lake village,fish run through brush,,,
Upper Inlet,Eydlughet,Eklutna,by the plural objects,,,
Upper Inlet,Tak'at,Cairn Point site,dipnet platform,,,
Upper Inlet,Dgheyey Kaq',Anchorage,mouth of needle fish,,,
Upper Inlet,Nuch'ishtunt,Point Woronzoff site,wind protected,,,
Upper Inlet,Ch'aghałnikt,Point Possession village,where fabric extends out,,,
Upper Inlet,Idlu Bena,Eklutna Lake,Plural Objects Lake,,,
Upper Inlet,Dgheyaytnu,"Ship Creek, original Anchorage townsite",Stickleback Creek' ,,,
Upper Inlet,Niłkidal'iy,Lake Spenard and Lake Hood,The Ones (Lakes) That Are Joined Together,,,
Upper Inlet,Nutuł'iy,Fire Island,Object That Stands in the Water,,,
Upper Inlet,Qin Cheghitnu,Campbell Creek,Crying Ridge Creek,,,
Upper Inlet,Ch'atanhtnu,Matanuska River,River from Which Trail Comes Out,,,
Upper Inlet,K'enaka Bena,Big Lake, -?- Lake,,,
Upper Inlet,K'idazq'eni,Mount Spurr,That Which Is Burning Inside,,,
Upper Inlet,Suyitnu,Susitna River,Sand River,Shem Pete,suyitnu.mp3,
Upper Inlet,K'dalkitnu,"Talkeetna River, Talkeetna townsite",Food Is Stored River,,,
